M1;0,25;2,5;1;0,8;2;1,5;0,6;1,4;2,6;0,7;0,6;1,3;3;0,5;0,8;2
M1,2;0,25;3;1,2;1;2,9;1,5;0,7;1,6;2,8;0,8;0,65;1,3;3;0,7;0,8;2
M1,6;0,35;3,2;1,6;1,1;3,4;1,5;0,7;1,6;3;0,9;0,7;1,3;3,2;0,7;0,8;2,3
M2;0,4;4;2;1,4;4,3;1,5;1;2;3,8;1,3;0,75;1,3;4;0,9;0,8;3,1
M2,5;0,45;5;2,5;1,7;5,5;2;1,1;2,5;4,5;1,5;0,8;1,5;5;1,3;1,2;4,1
M3;0,5;5,5;3;2;6;2,5;1,3;3;5,5;2;1,2;1,7;6;1,5;1,2;4,6
M3,5;0,6;0;3,5;2,4;7;2,5;1,6;3,5;6,5;2,5;1,6;2;7;2;1,5;5
M4;0,7;7;4;2,8;7,7;3;2;4;7;2,5;1,8;2,3;8;2;1,5;5,9
M5;0,8;8;5;3,5;8,8;4;2,5;5;8,5;3;2,3;2,8;10;2,5;2;6,9
M6;1;10;6;4;11,1;5;3;6;10;4;2,5;3,3;12;3;2;8,9
M7;1;11;7;4,8;12,5;5,5;3,5;7;12;4,5;3;3,8;14;3,5;3;10,1
M8;1,25;13;8;5,3;14,4;6;4;8;13;5;3,5;4,4;16;4;3;11,6
M10;1,5;16;10;6,4;17,8;8;5;10;16;6;4,4;5,5;20;5;4;14,6
M12;1,75;18;12;7,5;20;10;6;12;18;8;4,6;6,5;24;6;4,8;16,6
M14;2;21;14;8,8;23;12;7;14;21;9;4,8;7;27;7;5;19,3
M16;2;24;16;10;26,2;14;8;16;24;10;5,3;7,5;30;8;6,4;22
M18;2,5;27;18;11,5;30;14;9;18;27;11;5,6;8;33;9;7;24,9
M20;2,5;30;20;12,5;33;17;10;20;30;12;5,9;8,5;36;10;8;27,7
M22;2,5;34;22;14;38;17;11;22;33;14;8,8;13;36;11;9;30,5
M24;3;36;24;15;40;19;12;24;36;15;10,3;14;39;12;9,6;33,3
M27;3;41;27;17;45;19;13,5;27;40;16;10,7;15;42;13;10,5;38
M30;3,5;46;30;18,7;50,9;22;15,5;30;45;18;11,1;16;45;14;11,2;42,8
M33;3,5;50;33;21;55;24;18;33;50;19;11,5;17;48;15;12;47
M36;4;55;36;22,5;60,8;27;19;36;54;20;11,9;18;52;16;12,8;51,1
M39;4;60;39;25;66;29;21;39;59;22;12,4;19;55;17;13,5;55,6
M42;4,5;65;42;26;71,3;32;24;42;63;23;12,8;20;58;18;14,4;60
M45;4,5;70;45;28;77;34;26;45;68;24;14,2;21;62;19;15;64,8
M48;5;75;48;30;82,6;36;28;48;72;26;14,6;22;65;20;16;69,5
M52;5;80;52;33;88;38;30;51;78;27;15;23;68;21;16,5;74,1
M56;5,5;85;56;35;93,6;40;32;54;82;28;15,4;24;72;22;17,6;78,7
M60;5,5;90;60;38;99;42;34;57;87;30;15,9;25;75;23;18,5;83
M64;6;95;64;40;105;44;36;61;92;31;16;26;78;24;19,2;88
M68;6;100;68;43;110;46;38;64;97;32;16,1;27;82;25;20;93
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M1x0,2;0,2;2,5;1;1;2;1,5;0,7;1,6;3;0,9;0,6;1,3;3;0,5;1,5;2
M1,2x0,2;0,2;3;1,2;1;2,9;1,5;0,7;1,6;3;0,9;0,65;1,3;3,2;0,7;1,5;2
M1,6x0,2;0,2;3,2;1,6;1,1;3,4;1,5;1;2;3,8;1,3;0,75;1,3;4;0,7;1,5;2
M2x0,25;0,25;4;2;1,4;4,3;2;1,1;2,5;4,5;1,5;0,8;1,5;5;0,9;1,7;3,1
M2,5x0,35;0,35;5;2,5;1,7;5,5;2,5;1,3;3;5,5;2;1,2;1,7;6;1,3;2;4,1
M3x0,25;0,25;5,5;3;2;6;2,5;1,3;3;5,5;2;1,2;1,7;6;1,5;2;4,6
